Ordem,Cond pgto,Condição pagamento
18740907,C091,Demais
18741108,C091,Demais
18741335,C091,Demais
18741428,C091,Demais
18741988,C091,Demais
18742011,C091,Demais
18742012,C091,Demais
18742375,C091,Demais
18742935,C091,Demais
18743124,C091,Demais
18743348,C091,Demais
18743415,C091,Demais
18743617,C091,Demais
18744129,C091,Demais
18744362,C091,Demais
18745524,C091,Demais
18745850,C091,Demais
18746046,C091,Demais
18746112,C091,Demais
18746501,C091,Demais
18746901,C091,Demais
18746968,C091,Demais
18748090,C091,Demais
18748253,C091,Demais
18748911,C091,Demais
18749376,C091,Demais
18749632,C091,Demais
18749816,C091,Demais
18750152,C091,Demais
18750313,C091,Demais
18750314,C091,Demais
18750520,C091,Demais
18750645,C091,Demais
18750841,C091,Demais
18751767,C091,Demais
18751768,C091,Demais
18751769,C091,Demais
18752038,C091,Demais
18752518,C091,Demais
18752683,C091,Demais
18753586,C091,Demais
18753587,C091,Demais
18753588,C091,Demais
18753819,C091,Demais
18753948,C091,Demais
18754589,C091,Demais
18755211,C091,Demais
18755331,C091,Demais
18755508,C091,Demais
18756148,C091,Demais
18756403,C091,Demais
18758241,C091,Demais
18759169,C091,Demais
18759329,C091,Demais
18759572,C091,Demais
18759771,C091,Demais
18760798,C091,Demais
18761926,C091,Demais
18761977,C091,Demais
18762050,C091,Demais
18762482,C091,Demais
18762788,C091,Demais
18762789,C091,Demais
18763179,C091,Demais
18763319,C091,Demais
18763469,C091,Demais
18765050,C091,Demais
18765452,C091,Demais
18765507,C091,Demais
18766104,C091,Demais
18766428,C091,Demais
18766859,C091,Demais
18767151,C091,Demais
18767167,C091,Demais
18767339,C091,Demais
18767526,C091,Demais
18767637,C091,Demais
18767728,C091,Demais
18768403,C091,Demais
18769445,C091,Demais
18769841,C091,Demais
18769850,C091,Demais
18770722,C091,Demais
18772391,C091,Demais
18772518,C091,Demais
18772576,C091,Demais
18772707,C091,Demais
18774083,C091,Demais
18774482,C091,Demais
18774491,C091,Demais
18774492,C091,Demais
18774519,C091,Demais
18774612,C091,Demais
18774613,C091,Demais
18774768,C091,Demais
18775612,C091,Demais
18775754,C091,Demais
18776187,C091,Demais
18776188,C091,Demais
18777217,C091,Demais
18777271,C091,Demais
18777669,C091,Demais
18778079,C091,Demais
18779885,C091,Demais
18779912,C091,Demais
18780998,C091,Demais
18786919,C091,Demais
18788066,C091,Demais
18788227,C091,Demais
18792505,C091,Demais
18792507,C091,Demais
18792604,C091,Demais
18794923,C091,Demais
18796954,C091,Demais
18798296,C091,Demais
18798654,C091,Demais
18799034,C091,Demais
18800050,C091,Demais
18800475,C091,Demais
18802100,C091,Demais
18803901,C091,Demais
18804172,C091,Demais
18804393,C091,Demais
18805180,C091,Demais
18805273,C091,Demais
18809778,C091,Demais
18810243,C091,Demais
18810264,C091,Demais
18811448,C091,Demais
18812038,C091,Demais
18812760,C091,Demais
18813296,C091,Demais
18813775,C091,Demais
18814543,C091,Demais
18815458,C091,Demais
18816000,C091,Demais
18816186,C091,Demais
18816826,C091,Demais
18817340,C091,Demais
18817438,C091,Demais
18818512,C091,Demais
18819518,C091,Demais
18820037,C091,Demais
18822116,C091,Demais
18822140,C091,Demais
18822487,C091,Demais
18823004,C091,Demais
18823224,C091,Demais
18824072,C091,Demais
18824110,C091,Demais
18824308,C091,Demais
18825576,C091,Demais
18825590,C091,Demais
18826994,C091,Demais
18827954,C091,Demais
18831260,C091,Demais
18831272,C091,Demais
18832793,C091,Demais
18834295,C091,Demais
18835182,C091,Demais
18836455,C091,Demais
18836651,C091,Demais
18837691,C091,Demais
18837769,C091,Demais
18837945,C091,Demais
18839147,C091,Demais
18839762,C091,Demais
18840235,C091,Demais
18840352,C091,Demais
18840648,C091,Demais
18841437,C091,Demais
18841613,C091,Demais
18843864,C091,Demais
18844516,C091,Demais
18845629,C091,Demais
18846012,C091,Demais
18847408,C091,Demais
18847710,C091,Demais
18847805,C091,Demais
18847960,C091,Demais
18848298,C091,Demais
18848663,C091,Demais
18848664,C091,Demais
18848865,C091,Demais
18848911,C091,Demais
18848953,C091,Demais
18848958,C091,Demais
18848961,C091,Demais
18849977,C091,Demais
18850171,C091,Demais
18850302,C091,Demais
18850586,C091,Demais
18851426,C091,Demais
18851583,C091,Demais
18852176,C091,Demais
18852545,C091,Demais
18853391,C091,Demais
18853763,C091,Demais
18854176,C091,Demais
18854662,C091,Demais
18854679,C091,Demais
18857533,C091,Demais
18858124,C091,Demais
18858316,C091,Demais
18858317,C091,Demais
18858433,C091,Demais
18859536,C091,Demais
18859801,C091,Demais
18860206,C091,Demais
18860807,C091,Demais
18861011,C091,Demais
18861877,C091,Demais
18865995,C091,Demais
18866478,C091,Demais
18867271,C091,Demais
18867687,C091,Demais
18869174,C091,Demais
18871987,C091,Demais
18873698,C091,Demais
18874819,C091,Demais
18875513,C091,Demais
18875704,C091,Demais
18877215,C091,Demais
18877870,C091,Demais
18880244,C091,Demais
18881750,C091,Demais
18882148,C091,Demais
18883046,C091,Demais
18883530,C091,Demais
18883892,C091,Demais
18883893,C091,Demais
18883925,C091,Demais
18883934,C091,Demais
18884153,C091,Demais
18884256,C091,Demais
18884553,C091,Demais
18884554,C091,Demais
18884762,C091,Demais
18884763,C091,Demais
18885473,C091,Demais
18885474,C091,Demais
18885968,C091,Demais
18886746,C091,Demais
18887405,C091,Demais
18888615,C091,Demais
18888942,C091,Demais
18889619,C091,Demais
18890231,C091,Demais
18891119,C091,Demais
18891155,C091,Demais
18892437,C091,Demais
18893744,C091,Demais
18893905,C091,Demais
18893942,C091,Demais
18893952,C091,Demais
18894402,C091,Demais
18894617,C091,Demais
18895274,C091,Demais
18895495,C091,Demais
18895496,C091,Demais
18895497,C091,Demais
18898774,C091,Demais
18901071,C091,Demais
18901114,C091,Demais
18901115,C091,Demais
18902664,C091,Demais
18903308,C091,Demais
18903309,C091,Demais
18903310,C091,Demais
18903388,C091,Demais
18904050,C091,Demais
18904052,C091,Demais
18904055,C091,Demais
18904738,C091,Demais
18905182,C091,Demais
18905784,C091,Demais
18906278,C091,Demais
18906280,C091,Demais
18906281,C091,Demais
18906295,C091,Demais
18907887,C091,Demais
18907888,C091,Demais
18908400,C091,Demais
18909069,C091,Demais
18910054,C091,Demais
18910142,C091,Demais
18910480,C091,Demais
18910822,C091,Demais
18911434,C091,Demais
18911863,C091,Demais
18911864,C091,Demais
18911865,C091,Demais
18912063,C091,Demais
18912120,C091,Demais
18913712,C091,Demais
18914332,C091,Demais
18914621,C091,Demais
18914918,C091,Demais
18915545,C091,Demais
18915815,C091,Demais
18916109,C091,Demais
18916211,C091,Demais
18916236,C091,Demais
18916373,C091,Demais
18916620,C091,Demais
18918109,C091,Demais
18918110,C091,Demais
18919318,C091,Demais
18919827,C091,Demais
18920888,C091,Demais
18922010,C091,Demais
18923204,C091,Demais
18929362,C091,Demais
18932177,C091,Demais
18933598,C091,Demais
18941999,C091,Demais
18942199,C091,Demais
18942898,C091,Demais
18944651,C091,Demais
18945823,C091,Demais
18946500,C091,Demais
18946773,C091,Demais
18947331,C091,Demais
18947332,C091,Demais
18949067,C091,Demais
18949446,C091,Demais
18950734,C091,Demais
18950949,C091,Demais
18953481,C091,Demais
18953482,C091,Demais
18955826,C091,Demais
18957517,C091,Demais
18957618,C091,Demais
18960734,C091,Demais
18963390,C091,Demais
18966440,C091,Demais
18974487,C091,Demais
18977724,C091,Demais
18977784,C091,Demais
18977810,C091,Demais
18978000,C091,Demais
18980070,C091,Demais
18980535,C091,Demais
18985008,C091,Demais
18989171,C091,Demais
18989345,C091,Demais
18991918,C091,Demais
18993793,C091,Demais
18995304,C091,Demais
18995305,C091,Demais
18995586,C091,Demais
19000059,C091,Demais
19001070,C091,Demais
19004393,C091,Demais
19007118,C091,Demais
19008881,C091,Demais
19008882,C091,Demais
19008883,C091,Demais
19008884,C091,Demais
19011502,C091,Demais
19012303,C091,Demais
19013785,C091,Demais
19014440,C091,Demais
19017699,C091,Demais
19017989,C091,Demais
19021281,C091,Demais
19024421,C091,Demais
19024632,C091,Demais
19026184,C091,Demais
19026263,C091,Demais
19026264,C091,Demais
19026265,C091,Demais
19026266,C091,Demais
19026378,C091,Demais
19028351,C091,Demais
19028352,C091,Demais
19028353,C091,Demais
19030330,C091,Demais
19031360,C091,Demais
19031361,C091,Demais
19031958,C091,Demais
19032366,C091,Demais
19032370,C091,Demais
19032501,C091,Demais
19032502,C091,Demais
19032561,C091,Demais
19033144,C091,Demais
19033145,C091,Demais
19034891,C091,Demais
19034981,C091,Demais
19035264,C091,Demais
19035775,C091,Demais
19035885,C091,Demais
19036367,C091,Demais
19037070,C091,Demais
19037087,C091,Demais
19037378,C091,Demais
19038336,C091,Demais
19039202,C091,Demais
19039203,C091,Demais
19039204,C091,Demais
19039205,C091,Demais
19039206,C091,Demais
19039207,C091,Demais
19042796,C091,Demais
19042887,C091,Demais
19045423,C091,Demais
19045430,C091,Demais
19045721,C091,Demais
19045994,C091,Demais
19046077,C091,Demais
19046565,C091,Demais
19046753,C091,Demais
19046987,C091,Demais
19047611,C091,Demais
19047629,C091,Demais
19047895,C091,Demais
19048339,C091,Demais
19049183,C091,Demais
19050088,C091,Demais
19050728,C091,Demais
19051291,C091,Demais
19051450,C091,Demais
19051664,C091,Demais
19051673,C091,Demais
19051679,C091,Demais
19052759,C091,Demais
19052791,C091,Demais
19053285,C091,Demais
19053538,C091,Demais
19054230,C091,Demais
19054871,C091,Demais
19055277,C091,Demais
19055435,C091,Demais
19056319,C091,Demais
19056643,C091,Demais
19056871,C091,Demais
19057167,C091,Demais
19057428,C091,Demais
19057670,C091,Demais
19057944,C091,Demais
19058123,C091,Demais
19058240,C091,Demais
19058734,C091,Demais
19059615,C091,Demais
19059643,C091,Demais
19060520,C091,Demais
19060528,C091,Demais
19060727,C091,Demais
19060947,C091,Demais
19061010,C091,Demais
19061358,C091,Demais
19061464,C091,Demais
19061521,C091,Demais
19061824,C091,Demais
19062021,C091,Demais
19062302,C091,Demais
19063309,C091,Demais
19064013,C091,Demais
19064201,C091,Demais
19064830,C091,Demais
19065005,C091,Demais
19065013,C091,Demais
19065107,C091,Demais
19066026,C091,Demais
19066613,C091,Demais
19067203,C091,Demais
19067524,C091,Demais
19070319,C091,Demais
19072313,C091,Demais
19073409,C091,Demais
19075104,C091,Demais
19076390,C091,Demais
19077609,C091,Demais
19082962,C091,Demais
19083142,C091,Demais
19084559,C091,Demais
19088329,C091,Demais
19094329,C091,Demais
19096701,C091,Demais
19097174,C091,Demais
19098602,C091,Demais
19120272,C091,Demais
19120273,C091,Demais
19125473,C091,Demais
19127597,C091,Demais
19130197,C091,Demais
19131748,C091,Demais
19133071,C091,Demais
19137200,C091,Demais
19139069,C091,Demais
19140853,C091,Demais
19140854,C091,Demais
19140874,C091,Demais
19141765,C091,Demais
19142382,C091,Demais
19145362,C091,Demais
19148087,C091,Demais
19149650,C091,Demais
19150930,C091,Demais
19152167,C091,Demais
19153378,C091,Demais
19154178,C091,Demais
19154859,C091,Demais
19156458,C091,Demais
19157547,C091,Demais
19157731,C091,Demais
19157734,C091,Demais
19159118,C091,Demais
19162144,C091,Demais
19163321,C091,Demais
19164124,C091,Demais
19166312,C091,Demais
19167011,C091,Demais
19167406,C091,Demais
19168207,C091,Demais
19168214,C091,Demais
19168563,C091,Demais
19168576,C091,Demais
19168801,C091,Demais
19170579,C091,Demais
19170825,C091,Demais
19170826,C091,Demais
19171375,C091,Demais
19171440,C091,Demais
19175373,C091,Demais
19177697,C091,Demais
19179475,C091,Demais
19180342,C091,Demais
19180386,C091,Demais
19180748,C091,Demais
19181063,C091,Demais
19181697,C091,Demais
19182209,C091,Demais
19182467,C091,Demais
19183295,C091,Demais
19183907,C091,Demais
19184049,C091,Demais
19185738,C091,Demais
19185782,C091,Demais
19185982,C091,Demais
19185994,C091,Demais
19186599,C091,Demais
19187036,C091,Demais
19187868,C091,Demais
19187902,C091,Demais
19188375,C091,Demais
19191152,C091,Demais
19191228,C091,Demais
19192846,C091,Demais
19192847,C091,Demais
19192848,C091,Demais
19192849,C091,Demais
19192850,C091,Demais
19192851,C091,Demais
19192949,C091,Demais
19193959,C091,Demais
19195498,C091,Demais
19195500,C091,Demais
19196156,C091,Demais
19196502,C091,Demais
19197290,C091,Demais
19198079,C091,Demais
19199491,C091,Demais
19201779,C091,Demais
19202183,C091,Demais
19203794,C091,Demais
19204189,C091,Demais
19205424,C091,Demais
19208368,C091,Demais
19208369,C091,Demais
19208370,C091,Demais
19208932,C091,Demais
19209444,C091,Demais
19209445,C091,Demais
19209446,C091,Demais
19210329,C091,Demais
19210330,C091,Demais
19211600,C091,Demais
19212485,C091,Demais
19212488,C091,Demais
19212548,C091,Demais
19212549,C091,Demais
19215054,C091,Demais
19216105,C091,Demais
19218541,C091,Demais
19219579,C091,Demais
19220525,C091,Demais
19222361,C091,Demais
19222362,C091,Demais
19222363,C091,Demais
19222364,C091,Demais
19222365,C091,Demais
19222366,C091,Demais
19223031,C091,Demais
19223354,C091,Demais
19223830,C091,Demais
19223873,C091,Demais
19226489,C091,Demais
19226527,C091,Demais
19226528,C091,Demais
19228217,C091,Demais
19228218,C091,Demais
19228219,C091,Demais
19228221,C091,Demais
19228681,C091,Demais
19229051,C091,Demais
19229052,C091,Demais
19229053,C091,Demais
19229054,C091,Demais
19229055,C091,Demais
19230020,C091,Demais
19231187,C091,Demais
19231188,C091,Demais
19231388,C091,Demais
19232032,C091,Demais
19232520,C091,Demais
19232682,C091,Demais
19232691,C091,Demais
19232758,C091,Demais
19232801,C091,Demais
19232861,C091,Demais
19233769,C091,Demais
19233776,C091,Demais
19233789,C091,Demais
19234229,C091,Demais
19234302,C091,Demais
19234303,C091,Demais
19234304,C091,Demais
19234305,C091,Demais
19234702,C091,Demais
19234801,C091,Demais
19234802,C091,Demais
19234803,C091,Demais
19234898,C091,Demais
19235166,C091,Demais
19235594,C091,Demais
19239673,C091,Demais
19239686,C091,Demais
19239723,C091,Demais
19239724,C091,Demais
19240581,C091,Demais
19241177,C091,Demais
19241196,C091,Demais
19241587,C091,Demais
19242928,C091,Demais
19243141,C091,Demais
19243157,C091,Demais
19243743,C091,Demais
19244572,C091,Demais
19245162,C091,Demais
19245295,C091,Demais
19246190,C091,Demais
19246263,C091,Demais
19246531,C091,Demais
19246560,C091,Demais
19247180,C091,Demais
19247340,C091,Demais
19247345,C091,Demais
19247664,C091,Demais
19248156,C091,Demais
19248283,C091,Demais
19248286,C091,Demais
19249659,C091,Demais
19249832,C091,Demais
19250489,C091,Demais
19250669,C091,Demais
19250739,C091,Demais
19250762,C091,Demais
19251438,C091,Demais
19252734,C091,Demais
19252853,C091,Demais
19253152,C091,Demais
19254145,C091,Demais
19254642,C091,Demais
19254668,C091,Demais
19255246,C091,Demais
19255434,C091,Demais
19256523,C091,Demais
19256612,C091,Demais
19256725,C091,Demais
19256927,C091,Demais
19257340,C091,Demais
19257524,C091,Demais
19258712,C091,Demais
19260511,C091,Demais
19260617,C091,Demais
19261211,C091,Demais
19261714,C091,Demais
19262807,C091,Demais
19263213,C091,Demais
19264508,C091,Demais
19266002,C091,Demais
19273361,C091,Demais
19299706,C091,Demais
19307249,C091,Demais
19325374,C091,Demais
19326282,C091,Demais
19329894,C091,Demais
19334996,C091,Demais
19346494,C091,Demais
19349363,C091,Demais
19351614,C091,Demais
19354815,C091,Demais
19355330,C091,Demais
19356703,C091,Demais
19356802,C091,Demais
19356803,C091,Demais
19362365,C091,Demais
19365306,C091,Demais
19368546,C091,Demais
19380867,C091,Demais
19381078,C091,Demais
19381668,C091,Demais
19383748,C091,Demais
19390493,C091,Demais
19397461,C091,Demais
19405376,C091,Demais
19406205,C091,Demais
19412517,C091,Demais
19414259,C091,Demais
19414355,C091,Demais
19417346,C091,Demais
19417589,C091,Demais
19419240,C091,Demais
19419252,C091,Demais
19419337,C091,Demais
19420253,C091,Demais
19421684,C091,Demais
19421899,C091,Demais
19426031,C091,Demais
19433465,C091,Demais
19435781,C091,Demais
19436087,C091,Demais
19438990,C091,Demais
19439476,C091,Demais
19440347,C091,Demais
19442464,C091,Demais
19442927,C091,Demais
19444878,C091,Demais
19446311,C091,Demais
19449755,C091,Demais
19449932,C091,Demais
19452778,C091,Demais
19454453,C091,Demais
19455627,C091,Demais
19456910,C091,Demais
19458131,C091,Demais
19460419,C091,Demais
19460667,C091,Demais
19461149,C091,Demais
19461150,C091,Demais
19461187,C091,Demais
19462417,C091,Demais
19462968,C091,Demais
19463553,C091,Demais
19464032,C091,Demais
19464101,C091,Demais
19466398,C091,Demais
19467041,C091,Demais
19475708,C091,Demais
19477679,C091,Demais
19477970,C091,Demais
19479324,C091,Demais
19480693,C091,Demais
19483691,C091,Demais
19486293,C091,Demais
19486365,C091,Demais
19486699,C091,Demais
19488084,C091,Demais
19488982,C091,Demais
19488983,C091,Demais
19488989,C091,Demais
19488990,C091,Demais
19489074,C091,Demais
19489075,C091,Demais
19489543,C091,Demais
19489998,C091,Demais
19490966,C091,Demais
19491296,C091,Demais
19491297,C091,Demais
19491298,C091,Demais
19491968,C091,Demais
19492488,C091,Demais
19493757,C091,Demais
19493954,C091,Demais
19493976,C091,Demais
19496511,C091,Demais
19496534,C091,Demais
19496535,C091,Demais
19496586,C091,Demais
19497461,C091,Demais
19497462,C091,Demais
19497943,C091,Demais
19498761,C091,Demais
19499010,C091,Demais
19499013,C091,Demais
19499252,C091,Demais
19499708,C091,Demais
19499709,C091,Demais
19500799,C091,Demais
19501481,C091,Demais
19502221,C091,Demais
19502222,C091,Demais
19502223,C091,Demais
19502240,C091,Demais
19503336,C091,Demais
19503475,C091,Demais
19503752,C091,Demais
19504137,C091,Demais
19504717,C091,Demais
19507315,C091,Demais
19507388,C091,Demais
19507389,C091,Demais
19507439,C091,Demais
19508252,C091,Demais
19508270,C091,Demais
19509673,C091,Demais
19510350,C091,Demais
19510381,C091,Demais
19511449,C091,Demais
19512821,C091,Demais
19513328,C091,Demais
19516316,C091,Demais
19516721,C091,Demais
19517710,C091,Demais
19518110,C091,Demais
19518300,C091,Demais
19518924,C091,Demais
19519416,C091,Demais
19521193,C091,Demais
19524965,C091,Demais
19526489,C091,Demais
19526490,C091,Demais
19527081,C091,Demais
19532868,C091,Demais
19534251,C091,Demais
19539162,C091,Demais
19541558,C091,Demais
19543647,C091,Demais
19544506,C091,Demais
19545068,C091,Demais
19546477,C091,Demais
19552474,C091,Demais
19552597,C091,Demais
19555174,C091,Demais
19555296,C091,Demais
19556957,C091,Demais
19558750,C091,Demais
19559758,C091,Demais
19560363,C091,Demais
19560693,C091,Demais
19563420,C091,Demais
19564197,C091,Demais
19564199,C091,Demais
19566860,C091,Demais
19566863,C091,Demais
19567399,C091,Demais
19567721,C091,Demais
19568690,C091,Demais
19569894,C091,Demais
19572761,C091,Demais
19572763,C091,Demais
19574376,C091,Demais
19575554,C091,Demais
19576055,C091,Demais
19576371,C091,Demais
19576855,C091,Demais
19576978,C091,Demais
19577051,C091,Demais
19577199,C091,Demais
19577848,C091,Demais
19577867,C091,Demais
19578080,C091,Demais
19578086,C091,Demais
19578859,C091,Demais
19579489,C091,Demais
19579725,C091,Demais
19579781,C091,Demais
19579840,C091,Demais
19579942,C091,Demais
19580053,C091,Demais
19580324,C091,Demais
19581370,C091,Demais
19581397,C091,Demais
19581513,C091,Demais
19581521,C091,Demais
19581522,C091,Demais
19581665,C091,Demais
19582203,C091,Demais
19583181,C091,Demais
19583529,C091,Demais
19583542,C091,Demais
19583578,C091,Demais
